Id;Path;Age;HaarCascade_FaceDetected;DeepFace_SSD_FaceDetected;DeepFace_SSD_Age
126576;D://braineye\dataset\dataset\20\126576.jpg;20;1;1;30
126621;D://braineye\dataset\dataset\20\126621.jpg;20;0;1;33
126662;D://braineye\dataset\dataset\20\126662.jpg;20;1;1;26
126816;D://braineye\dataset\dataset\20\126816.jpg;20;1;1;22
126838;D://braineye\dataset\dataset\20\126838.jpg;20;1;1;27
126849;D://braineye\dataset\dataset\20\126849.jpg;20;1;1;31
127099;D://braineye\dataset\dataset\20\127099.jpg;20;1;1;33
127186;D://braineye\dataset\dataset\20\127186.jpg;20;0;1;28
127211;D://braineye\dataset\dataset\20\127211.jpg;20;0;1;29
127226;D://braineye\dataset\dataset\20\127226.jpg;20;0;1;29
127402;D://braineye\dataset\dataset\20\127402.jpg;20;1;1;29
127530;D://braineye\dataset\dataset\20\127530.jpg;20;0;1;39
127734;D://braineye\dataset\dataset\20\127734.jpg;20;1;1;25
127742;D://braineye\dataset\dataset\20\127742.jpg;20;1;1;31
127887;D://braineye\dataset\dataset\20\127887.jpg;20;1;1;29
127934;D://braineye\dataset\dataset\20\127934.jpg;20;1;1;30
128021;D://braineye\dataset\dataset\20\128021.jpg;20;0;1;26
128173;D://braineye\dataset\dataset\20\128173.jpg;20;1;1;21
128283;D://braineye\dataset\dataset\20\128283.jpg;20;1;1;31
128439;D://braineye\dataset\dataset\20\128439.jpg;20;1;1;36
128505;D://braineye\dataset\dataset\20\128505.jpg;20;1;1;29
128597;D://braineye\dataset\dataset\20\128597.jpg;20;1;1;27
128627;D://braineye\dataset\dataset\20\128627.jpg;20;1;1;29
128633;D://braineye\dataset\dataset\20\128633.jpg;20;1;1;25
128798;D://braineye\dataset\dataset\20\128798.jpg;20;1;1;36
128805;D://braineye\dataset\dataset\20\128805.jpg;20;0;1;33
128905;D://braineye\dataset\dataset\20\128905.jpg;20;0;1;30
128915;D://braineye\dataset\dataset\20\128915.jpg;20;1;1;24
128921;D://braineye\dataset\dataset\20\128921.jpg;20;1;1;28
128943;D://braineye\dataset\dataset\20\128943.jpg;20;1;1;39
128952;D://braineye\dataset\dataset\20\128952.jpg;20;1;1;28
128985;D://braineye\dataset\dataset\20\128985.jpg;20;0;1;38
129007;D://braineye\dataset\dataset\20\129007.jpg;20;1;1;41
129102;D://braineye\dataset\dataset\20\129102.jpg;20;1;1;25
129111;D://braineye\dataset\dataset\20\129111.jpg;20;1;1;26
129115;D://braineye\dataset\dataset\20\129115.jpg;20;1;1;31
129158;D://braineye\dataset\dataset\20\129158.jpg;20;1;1;26
129231;D://braineye\dataset\dataset\20\129231.jpg;20;1;1;30
129291;D://braineye\dataset\dataset\20\129291.jpg;20;1;1;26
129329;D://braineye\dataset\dataset\20\129329.jpg;20;1;1;30
129344;D://braineye\dataset\dataset\20\129344.jpg;20;1;1;28
129381;D://braineye\dataset\dataset\20\129381.jpg;20;1;1;29
129415;D://braineye\dataset\dataset\20\129415.jpg;20;1;1;31
129447;D://braineye\dataset\dataset\20\129447.jpg;20;0;1;32
129525;D://braineye\dataset\dataset\20\129525.jpg;20;0;1;35
129542;D://braineye\dataset\dataset\20\129542.jpg;20;1;1;26
129583;D://braineye\dataset\dataset\20\129583.jpg;20;1;1;19
129604;D://braineye\dataset\dataset\20\129604.jpg;20;1;1;27
129607;D://braineye\dataset\dataset\20\129607.jpg;20;1;1;30
129781;D://braineye\dataset\dataset\20\129781.jpg;20;1;1;25
129959;D://braineye\dataset\dataset\20\129959.jpg;20;1;1;32
130048;D://braineye\dataset\dataset\20\130048.jpg;20;1;1;29
130086;D://braineye\dataset\dataset\20\130086.jpg;20;0;1;37
130096;D://braineye\dataset\dataset\20\130096.jpg;20;2;1;26
130115;D://braineye\dataset\dataset\20\130115.jpg;20;1;1;24
130189;D://braineye\dataset\dataset\20\130189.jpg;20;0;1;34
130197;D://braineye\dataset\dataset\20\130197.jpg;20;1;1;24
130209;D://braineye\dataset\dataset\20\130209.jpg;20;1;1;41
130268;D://braineye\dataset\dataset\20\130268.jpg;20;1;1;33
130403;D://braineye\dataset\dataset\20\130403.jpg;20;0;1;32
130404;D://braineye\dataset\dataset\20\130404.jpg;20;1;1;25
130409;D://braineye\dataset\dataset\20\130409.jpg;20;1;1;25
130475;D://braineye\dataset\dataset\20\130475.jpg;20;1;1;28
130555;D://braineye\dataset\dataset\20\130555.jpg;20;0;1;40
130690;D://braineye\dataset\dataset\20\130690.jpg;20;1;1;27
130692;D://braineye\dataset\dataset\20\130692.jpg;20;1;1;31
130865;D://braineye\dataset\dataset\20\130865.jpg;20;1;1;26
130866;D://braineye\dataset\dataset\20\130866.jpg;20;1;1;27
130906;D://braineye\dataset\dataset\20\130906.jpg;20;1;1;29
130936;D://braineye\dataset\dataset\20\130936.jpg;20;0;1;32
130956;D://braineye\dataset\dataset\20\130956.jpg;20;1;1;31
130979;D://braineye\dataset\dataset\20\130979.jpg;20;1;1;28
131082;D://braineye\dataset\dataset\20\131082.jpg;20;1;1;30
131094;D://braineye\dataset\dataset\20\131094.jpg;20;0;1;28
131263;D://braineye\dataset\dataset\20\131263.jpg;20;0;1;41
131380;D://braineye\dataset\dataset\20\131380.jpg;20;1;1;26
131401;D://braineye\dataset\dataset\20\131401.jpg;20;1;1;29
131489;D://braineye\dataset\dataset\20\131489.jpg;20;0;1;30
131523;D://braineye\dataset\dataset\20\131523.jpg;20;1;1;32
131550;D://braineye\dataset\dataset\20\131550.jpg;20;0;1;28
131583;D://braineye\dataset\dataset\20\131583.jpg;20;0;1;28
131595;D://braineye\dataset\dataset\20\131595.jpg;20;1;1;31
131673;D://braineye\dataset\dataset\20\131673.jpg;20;1;1;25
131718;D://braineye\dataset\dataset\20\131718.jpg;20;0;1;36
131816;D://braineye\dataset\dataset\20\131816.jpg;20;1;1;36
131862;D://braineye\dataset\dataset\20\131862.jpg;20;1;1;29
131879;D://braineye\dataset\dataset\20\131879.jpg;20;1;1;32
131885;D://braineye\dataset\dataset\20\131885.jpg;20;0;1;31
131896;D://braineye\dataset\dataset\20\131896.jpg;20;1;1;28
131946;D://braineye\dataset\dataset\20\131946.jpg;20;1;1;30
131971;D://braineye\dataset\dataset\20\131971.jpg;20;1;1;27
131998;D://braineye\dataset\dataset\20\131998.jpg;20;0;1;26
132105;D://braineye\dataset\dataset\20\132105.jpg;20;1;1;26
132157;D://braineye\dataset\dataset\20\132157.jpg;20;1;1;28
132222;D://braineye\dataset\dataset\20\132222.jpg;20;0;1;30
132256;D://braineye\dataset\dataset\20\132256.jpg;20;1;1;32
132275;D://braineye\dataset\dataset\20\132275.jpg;20;1;1;25
132443;D://braineye\dataset\dataset\20\132443.jpg;20;1;1;30
132489;D://braineye\dataset\dataset\20\132489.jpg;20;1;1;29
132510;D://braineye\dataset\dataset\20\132510.jpg;20;1;1;29
132560;D://braineye\dataset\dataset\20\132560.jpg;20;1;1;35
132570;D://braineye\dataset\dataset\20\132570.jpg;20;1;1;34
132595;D://braineye\dataset\dataset\20\132595.jpg;20;1;1;23
132600;D://braineye\dataset\dataset\20\132600.jpg;20;1;1;26
132614;D://braineye\dataset\dataset\20\132614.jpg;20;1;1;27
132668;D://braineye\dataset\dataset\20\132668.jpg;20;0;1;35
132708;D://braineye\dataset\dataset\20\132708.jpg;20;1;1;24
132747;D://braineye\dataset\dataset\20\132747.jpg;20;1;1;31
132802;D://braineye\dataset\dataset\20\132802.jpg;20;1;1;25
132841;D://braineye\dataset\dataset\20\132841.jpg;20;1;1;30
132894;D://braineye\dataset\dataset\20\132894.jpg;20;2;1;38
132929;D://braineye\dataset\dataset\20\132929.jpg;20;1;1;32
132974;D://braineye\dataset\dataset\20\132974.jpg;20;0;1;31
132976;D://braineye\dataset\dataset\20\132976.jpg;20;1;1;29
133056;D://braineye\dataset\dataset\20\133056.jpg;20;0;1;26
133094;D://braineye\dataset\dataset\20\133094.jpg;20;1;1;31
133124;D://braineye\dataset\dataset\20\133124.jpg;20;1;1;30
133183;D://braineye\dataset\dataset\20\133183.jpg;20;1;1;30
133310;D://braineye\dataset\dataset\20\133310.jpg;20;0;1;27
133386;D://braineye\dataset\dataset\20\133386.jpg;20;1;1;24
133415;D://braineye\dataset\dataset\20\133415.jpg;20;1;1;33
133438;D://braineye\dataset\dataset\20\133438.jpg;20;1;1;28
133482;D://braineye\dataset\dataset\20\133482.jpg;20;0;1;34
133483;D://braineye\dataset\dataset\20\133483.jpg;20;1;1;24
133485;D://braineye\dataset\dataset\20\133485.jpg;20;1;1;27
133492;D://braineye\dataset\dataset\20\133492.jpg;20;1;1;28
133654;D://braineye\dataset\dataset\20\133654.jpg;20;1;1;31
133735;D://braineye\dataset\dataset\20\133735.jpg;20;1;1;26
133819;D://braineye\dataset\dataset\20\133819.jpg;20;0;1;33
133898;D://braineye\dataset\dataset\20\133898.jpg;20;1;1;30
133904;D://braineye\dataset\dataset\20\133904.jpg;20;1;1;27
133965;D://braineye\dataset\dataset\20\133965.jpg;20;1;1;33
134158;D://braineye\dataset\dataset\20\134158.jpg;20;1;1;26
134230;D://braineye\dataset\dataset\20\134230.jpg;20;2;0;0
134307;D://braineye\dataset\dataset\20\134307.jpg;20;1;1;28
134353;D://braineye\dataset\dataset\20\134353.jpg;20;1;1;26
134389;D://braineye\dataset\dataset\20\134389.jpg;20;1;1;33
134603;D://braineye\dataset\dataset\20\134603.jpg;20;0;1;30
134635;D://braineye\dataset\dataset\20\134635.jpg;20;0;1;32
134642;D://braineye\dataset\dataset\20\134642.jpg;20;1;1;32
134670;D://braineye\dataset\dataset\20\134670.jpg;20;1;1;31
134761;D://braineye\dataset\dataset\20\134761.jpg;20;0;1;23
134797;D://braineye\dataset\dataset\20\134797.jpg;20;1;1;26
134826;D://braineye\dataset\dataset\20\134826.jpg;20;0;1;27
134937;D://braineye\dataset\dataset\20\134937.jpg;20;1;1;26
134954;D://braineye\dataset\dataset\20\134954.jpg;20;1;1;33
134960;D://braineye\dataset\dataset\20\134960.jpg;20;1;1;20
135015;D://braineye\dataset\dataset\20\135015.jpg;20;1;1;25
135101;D://braineye\dataset\dataset\20\135101.jpg;20;1;1;30
135146;D://braineye\dataset\dataset\20\135146.jpg;20;0;1;31
135220;D://braineye\dataset\dataset\20\135220.jpg;20;1;1;29
135467;D://braineye\dataset\dataset\20\135467.jpg;20;1;1;30
135567;D://braineye\dataset\dataset\20\135567.jpg;20;1;1;24
135592;D://braineye\dataset\dataset\20\135592.jpg;20;0;1;33
135643;D://braineye\dataset\dataset\20\135643.jpg;20;0;1;30
135661;D://braineye\dataset\dataset\20\135661.jpg;20;1;1;33
135716;D://braineye\dataset\dataset\20\135716.jpg;20;1;1;27
135731;D://braineye\dataset\dataset\20\135731.jpg;20;1;1;33
135748;D://braineye\dataset\dataset\20\135748.jpg;20;0;1;27
135781;D://braineye\dataset\dataset\20\135781.jpg;20;1;1;27
136066;D://braineye\dataset\dataset\20\136066.jpg;20;1;1;28
136098;D://braineye\dataset\dataset\20\136098.jpg;20;1;1;29
136099;D://braineye\dataset\dataset\20\136099.jpg;20;1;1;35
136119;D://braineye\dataset\dataset\20\136119.jpg;20;0;1;26
136253;D://braineye\dataset\dataset\20\136253.jpg;20;0;1;31
136280;D://braineye\dataset\dataset\20\136280.jpg;20;1;1;27
136390;D://braineye\dataset\dataset\20\136390.jpg;20;1;1;35
136397;D://braineye\dataset\dataset\20\136397.jpg;20;1;1;22
136432;D://braineye\dataset\dataset\20\136432.jpg;20;1;1;32
136477;D://braineye\dataset\dataset\20\136477.jpg;20;1;1;27
136524;D://braineye\dataset\dataset\20\136524.jpg;20;1;1;22
136537;D://braineye\dataset\dataset\20\136537.jpg;20;1;1;20
136590;D://braineye\dataset\dataset\20\136590.jpg;20;1;1;28
136832;D://braineye\dataset\dataset\20\136832.jpg;20;1;1;27
136925;D://braineye\dataset\dataset\20\136925.jpg;20;1;1;25
136972;D://braineye\dataset\dataset\20\136972.jpg;20;0;1;33
137079;D://braineye\dataset\dataset\20\137079.jpg;20;0;1;35
137151;D://braineye\dataset\dataset\20\137151.jpg;20;1;1;33
137283;D://braineye\dataset\dataset\20\137283.jpg;20;1;1;31
137334;D://braineye\dataset\dataset\20\137334.jpg;20;1;1;29
137343;D://braineye\dataset\dataset\20\137343.jpg;20;1;1;23
137359;D://braineye\dataset\dataset\20\137359.jpg;20;0;1;32
137406;D://braineye\dataset\dataset\20\137406.jpg;20;1;1;25
137414;D://braineye\dataset\dataset\20\137414.jpg;20;1;1;29
137736;D://braineye\dataset\dataset\20\137736.jpg;20;1;1;33
137936;D://braineye\dataset\dataset\20\137936.jpg;20;1;1;52
137944;D://braineye\dataset\dataset\20\137944.jpg;20;1;1;41
137993;D://braineye\dataset\dataset\20\137993.jpg;20;1;1;24
138085;D://braineye\dataset\dataset\20\138085.jpg;20;1;1;28
138235;D://braineye\dataset\dataset\20\138235.jpg;20;1;1;28
138243;D://braineye\dataset\dataset\20\138243.jpg;20;1;1;30
138259;D://braineye\dataset\dataset\20\138259.jpg;20;1;1;23
138387;D://braineye\dataset\dataset\20\138387.jpg;20;1;1;24
138404;D://braineye\dataset\dataset\20\138404.jpg;20;1;1;21
138511;D://braineye\dataset\dataset\20\138511.jpg;20;1;1;29
138540;D://braineye\dataset\dataset\20\138540.jpg;20;1;1;32
138594;D://braineye\dataset\dataset\20\138594.jpg;20;1;1;26
138605;D://braineye\dataset\dataset\20\138605.jpg;20;1;1;25
138675;D://braineye\dataset\dataset\20\138675.jpg;20;1;1;26
138695;D://braineye\dataset\dataset\20\138695.jpg;20;0;1;29
138755;D://braineye\dataset\dataset\20\138755.jpg;20;1;1;25
138803;D://braineye\dataset\dataset\20\138803.jpg;20;1;1;29
138852;D://braineye\dataset\dataset\20\138852.jpg;20;1;1;32
138887;D://braineye\dataset\dataset\20\138887.jpg;20;1;1;28
138926;D://braineye\dataset\dataset\20\138926.jpg;20;1;1;29
138942;D://braineye\dataset\dataset\20\138942.jpg;20;1;1;30
139055;D://braineye\dataset\dataset\20\139055.jpg;20;0;1;23
139070;D://braineye\dataset\dataset\20\139070.jpg;20;1;1;26
139113;D://braineye\dataset\dataset\20\139113.jpg;20;1;1;29
139274;D://braineye\dataset\dataset\20\139274.jpg;20;1;1;21
139392;D://braineye\dataset\dataset\20\139392.jpg;20;0;1;45
139543;D://braineye\dataset\dataset\20\139543.jpg;20;0;1;29
139583;D://braineye\dataset\dataset\20\139583.jpg;20;1;1;19
139617;D://braineye\dataset\dataset\20\139617.jpg;20;1;1;32
139832;D://braineye\dataset\dataset\20\139832.jpg;20;1;1;29
139882;D://braineye\dataset\dataset\20\139882.jpg;20;1;1;28
139918;D://braineye\dataset\dataset\20\139918.jpg;20;1;1;22
139940;D://braineye\dataset\dataset\20\139940.jpg;20;1;1;22
139946;D://braineye\dataset\dataset\20\139946.jpg;20;1;1;31
140087;D://braineye\dataset\dataset\20\140087.jpg;20;1;1;42
140113;D://braineye\dataset\dataset\20\140113.jpg;20;1;1;29
140237;D://braineye\dataset\dataset\20\140237.jpg;20;1;1;32
140348;D://braineye\dataset\dataset\20\140348.jpg;20;0;1;24
140480;D://braineye\dataset\dataset\20\140480.jpg;20;0;1;37
140542;D://braineye\dataset\dataset\20\140542.jpg;20;0;1;25
140631;D://braineye\dataset\dataset\20\140631.jpg;20;1;1;30
140768;D://braineye\dataset\dataset\20\140768.jpg;20;1;1;30
140818;D://braineye\dataset\dataset\20\140818.jpg;20;0;1;40
140847;D://braineye\dataset\dataset\20\140847.jpg;20;1;1;29
140893;D://braineye\dataset\dataset\20\140893.jpg;20;1;1;29
140991;D://braineye\dataset\dataset\20\140991.jpg;20;1;1;31
140998;D://braineye\dataset\dataset\20\140998.jpg;20;0;1;36
141009;D://braineye\dataset\dataset\20\141009.jpg;20;1;1;23
141118;D://braineye\dataset\dataset\20\141118.jpg;20;1;1;33
141384;D://braineye\dataset\dataset\20\141384.jpg;20;0;1;32
141466;D://braineye\dataset\dataset\20\141466.jpg;20;1;1;31
141558;D://braineye\dataset\dataset\20\141558.jpg;20;1;1;25
141572;D://braineye\dataset\dataset\20\141572.jpg;20;1;1;20
141670;D://braineye\dataset\dataset\20\141670.jpg;20;1;1;26
141854;D://braineye\dataset\dataset\20\141854.jpg;20;1;1;26
141884;D://braineye\dataset\dataset\20\141884.jpg;20;1;1;31
141982;D://braineye\dataset\dataset\20\141982.jpg;20;1;1;33
142010;D://braineye\dataset\dataset\20\142010.jpg;20;1;1;30
142111;D://braineye\dataset\dataset\20\142111.jpg;20;1;1;31
142112;D://braineye\dataset\dataset\20\142112.jpg;20;0;1;37
142154;D://braineye\dataset\dataset\20\142154.jpg;20;1;1;25
142168;D://braineye\dataset\dataset\20\142168.jpg;20;1;1;25
142179;D://braineye\dataset\dataset\20\142179.jpg;20;1;1;30
142270;D://braineye\dataset\dataset\20\142270.jpg;20;2;1;30
142300;D://braineye\dataset\dataset\20\142300.jpg;20;0;1;28
142356;D://braineye\dataset\dataset\20\142356.jpg;20;1;1;22
142364;D://braineye\dataset\dataset\20\142364.jpg;20;1;1;29
142424;D://braineye\dataset\dataset\20\142424.jpg;20;1;1;39
142459;D://braineye\dataset\dataset\20\142459.jpg;20;1;1;26
142473;D://braineye\dataset\dataset\20\142473.jpg;20;0;1;28
142535;D://braineye\dataset\dataset\20\142535.jpg;20;1;1;27
142561;D://braineye\dataset\dataset\20\142561.jpg;20;1;1;27
142645;D://braineye\dataset\dataset\20\142645.jpg;20;1;1;26
142662;D://braineye\dataset\dataset\20\142662.jpg;20;1;1;49
142681;D://braineye\dataset\dataset\20\142681.jpg;20;1;1;32
142743;D://braineye\dataset\dataset\20\142743.jpg;20;1;1;27
142814;D://braineye\dataset\dataset\20\142814.jpg;20;1;1;34
142826;D://braineye\dataset\dataset\20\142826.jpg;20;1;1;31
143002;D://braineye\dataset\dataset\20\143002.jpg;20;1;1;23
143142;D://braineye\dataset\dataset\20\143142.jpg;20;0;1;29
143165;D://braineye\dataset\dataset\20\143165.jpg;20;1;1;31
143182;D://braineye\dataset\dataset\20\143182.jpg;20;2;1;30
143200;D://braineye\dataset\dataset\20\143200.jpg;20;1;1;30
143260;D://braineye\dataset\dataset\20\143260.jpg;20;0;1;30
143270;D://braineye\dataset\dataset\20\143270.jpg;20;1;1;32
143468;D://braineye\dataset\dataset\20\143468.jpg;20;0;1;26
143561;D://braineye\dataset\dataset\20\143561.jpg;20;1;1;30
143618;D://braineye\dataset\dataset\20\143618.jpg;20;1;1;27
143677;D://braineye\dataset\dataset\20\143677.jpg;20;1;1;24
143744;D://braineye\dataset\dataset\20\143744.jpg;20;1;1;34
143833;D://braineye\dataset\dataset\20\143833.jpg;20;1;1;31
143849;D://braineye\dataset\dataset\20\143849.jpg;20;1;1;28
143853;D://braineye\dataset\dataset\20\143853.jpg;20;1;1;33
143898;D://braineye\dataset\dataset\20\143898.jpg;20;0;1;27
144067;D://braineye\dataset\dataset\20\144067.jpg;20;0;1;32
144185;D://braineye\dataset\dataset\20\144185.jpg;20;1;1;22
144243;D://braineye\dataset\dataset\20\144243.jpg;20;1;1;31
144342;D://braineye\dataset\dataset\20\144342.jpg;20;1;1;29
144463;D://braineye\dataset\dataset\20\144463.jpg;20;1;1;30
144651;D://braineye\dataset\dataset\20\144651.jpg;20;1;1;23
144698;D://braineye\dataset\dataset\20\144698.jpg;20;1;1;31
144864;D://braineye\dataset\dataset\20\144864.jpg;20;2;1;28
144895;D://braineye\dataset\dataset\20\144895.jpg;20;1;1;21
144909;D://braineye\dataset\dataset\20\144909.jpg;20;1;1;29
145034;D://braineye\dataset\dataset\20\145034.jpg;20;1;1;25
145123;D://braineye\dataset\dataset\20\145123.jpg;20;1;1;25
145128;D://braineye\dataset\dataset\20\145128.jpg;20;1;1;30
145159;D://braineye\dataset\dataset\20\145159.jpg;20;1;1;21
145168;D://braineye\dataset\dataset\20\145168.jpg;20;1;1;23
145185;D://braineye\dataset\dataset\20\145185.jpg;20;0;1;34
145212;D://braineye\dataset\dataset\20\145212.jpg;20;0;1;33
145271;D://braineye\dataset\dataset\20\145271.jpg;20;1;1;26
145295;D://braineye\dataset\dataset\20\145295.jpg;20;1;1;31
145339;D://braineye\dataset\dataset\20\145339.jpg;20;0;1;48
145355;D://braineye\dataset\dataset\20\145355.jpg;20;1;1;30
145368;D://braineye\dataset\dataset\20\145368.jpg;20;1;1;30
145386;D://braineye\dataset\dataset\20\145386.jpg;20;1;1;21
145398;D://braineye\dataset\dataset\20\145398.jpg;20;0;1;34
145400;D://braineye\dataset\dataset\20\145400.jpg;20;1;1;27
145402;D://braineye\dataset\dataset\20\145402.jpg;20;1;1;28
145516;D://braineye\dataset\dataset\20\145516.jpg;20;0;1;24
145569;D://braineye\dataset\dataset\20\145569.jpg;20;1;1;28
145659;D://braineye\dataset\dataset\20\145659.jpg;20;0;1;27
145739;D://braineye\dataset\dataset\20\145739.jpg;20;1;1;35
145770;D://braineye\dataset\dataset\20\145770.jpg;20;1;1;36
146033;D://braineye\dataset\dataset\20\146033.jpg;20;1;1;25
146057;D://braineye\dataset\dataset\20\146057.jpg;20;1;1;28
146126;D://braineye\dataset\dataset\20\146126.jpg;20;1;1;28
146150;D://braineye\dataset\dataset\20\146150.jpg;20;1;1;23
146193;D://braineye\dataset\dataset\20\146193.jpg;20;1;1;26
146307;D://braineye\dataset\dataset\20\146307.jpg;20;1;1;27
146329;D://braineye\dataset\dataset\20\146329.jpg;20;1;1;31
146357;D://braineye\dataset\dataset\20\146357.jpg;20;1;1;25
146374;D://braineye\dataset\dataset\20\146374.jpg;20;1;1;28
146376;D://braineye\dataset\dataset\20\146376.jpg;20;1;1;32
146381;D://braineye\dataset\dataset\20\146381.jpg;20;0;1;34
146393;D://braineye\dataset\dataset\20\146393.jpg;20;0;1;29
146400;D://braineye\dataset\dataset\20\146400.jpg;20;1;1;29
146432;D://braineye\dataset\dataset\20\146432.jpg;20;0;1;25
146611;D://braineye\dataset\dataset\20\146611.jpg;20;2;2;34
146658;D://braineye\dataset\dataset\20\146658.jpg;20;0;1;26
146695;D://braineye\dataset\dataset\20\146695.jpg;20;1;1;28
146756;D://braineye\dataset\dataset\20\146756.jpg;20;1;1;28
146838;D://braineye\dataset\dataset\20\146838.jpg;20;0;1;32
146905;D://braineye\dataset\dataset\20\146905.jpg;20;1;1;27
146920;D://braineye\dataset\dataset\20\146920.jpg;20;1;1;25
146995;D://braineye\dataset\dataset\20\146995.jpg;20;0;1;30
147118;D://braineye\dataset\dataset\20\147118.jpg;20;1;1;25
147163;D://braineye\dataset\dataset\20\147163.jpg;20;0;1;22
147175;D://braineye\dataset\dataset\20\147175.jpg;20;1;1;25
